cgl_locus,cg_locus,gene_name,product
Cgl2940,cg3252,,Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)
Cgl2479,,,
Cgl0717,cg0823,ntaA,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.14.13.-)"
Cgl0944,cg1077,,Hypothetical membrane protein
Cgl2709,cg2999,,Uncharacterized NAD(FAD)-dependent dehydrogenases
Cgl2410,cg2643,benE,Uncharacterized protein involved in benzoate metabolism
Cgl1897,cg2077,,Alpha-(1->3)-arabinofuranosyltransferase (EC 2.4.2.47) (Arabinofuranan 3-O-arabinosyltransferase) (Arabinofuranosyltransferase C)
Cgl0232,cg0285,tgt,Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)
Cgl2893,cg3201,serS,Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
Cgl0771,cg0881,rhlE,Superfamily II DNA and RNA helicases
Cgl2082,cg2284,,DUF4921 domain-containing protein
Cgl2233,cg2452,,Galactokinase (EC 2.7.1.6)
Cgl0996,cg1133,glyA,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)
Cgl0437,cg0518,hemL,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)"
Cgl0352,cg0422,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase)
Cgl2905,cg3213,,DUF3500 domain-containing protein
Cgl1922,cg2105,,DUF4192 domain-containing protein
Cgl1912,cg2095,,Uncharacterized membrane protein
Cgl0436,cg0517,hemY,Coproporphyrinogen III oxidase (EC 1.3.3.15)
Cgl1138,cg1289,,Permeases of the major facilitator superfamily
Cgl0333,cg0402,rmlCD,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
Cgl0576,,,
Cgl2409,cg2642,benK1,Permeases of the major facilitator superfamily
Cgl2908,cg3216,gntP,H+/gluconate symporter and related permeases
Cgl1194,cg1349,,Uncharacterized CBS domain-containing proteins
Cgl0640,cg0740,,Predicted membrane protein
Cgl0109,cg0143,mtlD,Mannitol-1-phosphate/altronate dehydrogenases (EC 1.1.1.67)
Cgl1385,cg1570,ugpB,"ABC-type transporter, periplasmic component"
Cgl2155,cg2366,ftsZ,Cell division protein FtsZ
Cgl2551,cg2810,,Na+/H+-dicarboxylate symporters
Cgl2978,cg3301,,Permeases of the major facilitator superfamily
Cgl1190,cg1345,narK,Nitrate/nitrite transporter
Cgl0470,cg0555,,Gamma-aminobutyrate permease and related permeases
Cgl2726,cg3021,,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
Cgl2641,cg2924,cysS,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
Cgl1107,cg1257,,Aromatic amino acid transport protein AroP (General aromatic amino acid permease)
Cgl2876,cg3185,,HNH nuclease domain-containing protein
Cgl2742,cg3037,cls,Phosphatidylserine/phosphatidylglycerophosphate/ cardioli pin synthases and related enzymes (EC 2.7.8.-)
Cgl3066,cg3395,proP,Ectoine/proline transporter ProP
Cgl2847,cg3154,udgA2,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
Cgl3026,cg3354,,3-hydroxybenzoate 6-hydroxylase (EC 1.14.13.24)
Cgl2595,cg2870,dctA,Na+/H+-dicarboxylate symporters
Cgl0479,cg0566,gabT,PLP-dependent aminotransferases (EC 2.6.1.19)
Cgl0573,cg0663,cma,Cyclopropane fatty acid synthase and related methyltransferases (EC 2.1.1.79)
Cgl0480,cg0567,gabD2,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.16)
Cgl2818,cg3119,cysJ,ferredoxin--NADP(+) reductase (EC 1.18.1.2)
Cgl1392,cg1578,,Predicted acyltransferases (EC 2.3.1.-)
Cgl1545,cg1743,,UPF0210 protein Cgl1545/cg1743
Cgl1580,,,
Cgl0968,cg1105,lysI,L-lysine transport protein (L-lysine permease)
Cgl2796,cg3096,,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.3)
Cgl2613,cg2895,,Permeases of the major facilitator superfamily
Cgl2102,cg2305,hisD,Histidinol dehydrogenase (HDH) (EC 1.1.1.23)
Cgl2517,cg2774,,Nicotinate phosphoribosyltransferase (EC 6.3.4.21)
Cgl3011,cg3339,merA,Dihydrolipoamide dehydrogenase/glutathione oxidoreductase and related enzymes (EC 1.16.1.1)
Cgl1409,cg1597,,TPR-repeat-containing protein
Cgl3053,cg3382,,Dipeptide/tripeptide permease
Cgl2375,cg2608,folC,tetrahydrofolate synthase (EC 6.3.2.17) (Tetrahydrofolylpolyglutamate synthase)
Cgl2278,cg2499,glyS,Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)
Cgl2665,cg2950,radA,DNA repair protein RadA
Cgl0630,cg0728,phr,Deoxyribodipyrimidine photolyase
Cgl2357,cg2589,,GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)
Cgl2030,cg2227,,Predicted ATPase with chaperone activity
Cgl2286,cg2511,,Uncharacterized CBS domain-containing proteins
Cgl2461,cg2705,,"ABC-type transporter, periplasmic component"
Cgl2229,cg2447,glnA2,Glutamine synthase (EC 6.3.1.2)
Cgl1645,cg1852,sdaA,L-serine dehydratase (EC 4.3.1.17)
Cgl0045,cg0062,ppp,protein-serine/threonine phosphatase (EC 3.1.3.16)
Cgl2505,cg2758,,Hypothetical membrane protein
Cgl1633,cg1839,,Uncharacterized ATPase related to the helicase subunit of the Holliday junction resolvase
Cgl0922,cg1052,cmt3,Surface layer protein
Cgl2003,cg2194,gor,Dihydrolipoamide dehydrogenase/glutathione oxidoreductase and related enzymes (EC 1.8.1.7)
Cgl0688,cg0790,lpdA,Dihydrolipoamide dehydrogenase/glutathione oxidoreductase and related enzymes (EC 1.8.1.4)
Cgl3013,cg3341,,VWFA domain-containing protein
Cgl2931,cg3243,,YprB ribonuclease H-like domain-containing protein
Cgl3085,cg3415,pcnA,tRNA nucleotidyltransferase/poly(A) polymerase
Cgl1599,cg1802,fmu,tRNA and rRNA cytosine-C5-methylases
Cgl0583,cg0675,mrsA,Phosphoglucosamine mutase (EC 5.4.2.10)
Cgl2318,cg2546,,"Integral membrane protein, possible transporter"
Cgl0283,cg0340,phdT,Permeases of the major facilitator superfamily
Cgl2545,cg2804,tnp21a(ISCg21a),Transposase DDE domain-containing protein
Cgl2777,cg3075,cmr,Permeases of the major facilitator superfamily
Cgl2178,cg2391,aroG,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)
Cgl1755,cg1976,,DNA primase/polymerase bifunctional N-terminal domain-containing protein
Cgl1675,cg1890,,Actin-like protein N-terminal domain-containing protein
Cgl0255,cg0310,katA,Catalase (EC 1.11.1.6)
Cgl3058,cg3387,,Permeases of the major facilitator superfamily
Cgl0698,cg0800,prpR,Predicted transcriptional regulators
Cgl1183,cg1337,hom,Homoserine dehydrogenase (HDH) (HSD) (EC 1.1.1.3)
Cgl1611,cg1815,pyrC,Dihydroorotase (DHOase) (EC 3.5.2.3)
Cgl2414,cg2647,tig,Trigger factor (TF) (EC 5.2.1.8) (PPIase)
Cgl1583,cg1785,amt,Ammonium transporter (Ammonia channel) (Ammonium channel)
Cgl0875,cg0997,cgtS2,histidine kinase (EC 2.7.13.3)
Cgl0339,cg0409,,Aminopeptidase N (EC 3.4.11.2)
Cgl2749,cg3044,,Hypothetical membrane protein
Cgl1465,cg1656,ndh,NADH:ubiquinone reductase (non-electrogenic) (EC 1.6.5.9)
Cgl1310,cg1482,,"Zn-dependent hydrolases, including glyoxylases"
Cgl1099,cg1249,,"ABC-type dipeptide/oligopeptide/nickel transport systems, periplasmic components"
Cgl2890,cg3198,glpK,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)
Cgl1499,cg1693,pepC,M18 family aminopeptidase (EC 3.4.11.-)
Cgl1180,cg1334,lysA,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)
Cgl2079,cg2280,gdh,NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Cgl2781,cg3080,,Hypothetical membrane protein
Cgl3025,cg3353,benK2(genK),Gentisate transporter
Cgl2754,cg3049,fprA,ferredoxin--NADP(+) reductase (EC 1.18.1.2)
Cgl0650,cg0752,,Uncharacterized BCR
Cgl0417,cg0497,hemA,Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)
Cgl2144,cg2355,dinP,DNA polymerase IV (Pol IV) (EC 2.7.7.7)
Cgl0025,cg0039,ohsR,Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen (EC 3.6.1.-)
Cgl1804,cg2024,,GIY-YIG domain-containing protein
Cgl0267,cg0324,mnhD,"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit"
Cgl2062,cg2262,ftsY,Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4)
Cgl1496,cg1690,,Proteasome accessory factor PafA2
Cgl0861,cg0984,purH,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]
Cgl1463,cg1654,thiD1,Thiamine biosynthesis multifunctional protein ThiED [Includes: Thiamine-phosphate synthase (TMP-PPase) (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase); Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)]
Cgl2922,cg3232,,Phosphohydrolase
Cgl1061,cg1207,,"ABC-type transporter, duplicated ATPase component"
Cgl2159,cg2370,ftsW,Probable peptidoglycan glycosyltransferase FtsW (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase)
Cgl1786,cg2005,,Uncharacterized protein
Cgl1914,cg2097,,DNA or RNA helicases of superfamily II
Cgl0965,cg1101,,"ABC-type transporter, ATPase component and permease component"
Cgl0429,cg0510,hemD,Uroporphyrinogen-III synthase (EC 2.1.1.107)
Cgl2303,cg2529,treS,maltose alpha-D-glucosyltransferase (EC 5.4.99.16) (Maltose alpha-D-glucosyltransferase)
Cgl0225,cg0277,,Di-and tricarboxylate transporters
Cgl2162,cg2373,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)
Cgl2713,cg3004,gabD1,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.39)
Cgl1525,cg1720,tetA,"ABC-type transporter, ATPase component and permease component"
Cgl0851,cg0973,pgi,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
Cgl2058,cg2257,srp,Signal recognition particle protein (EC 3.6.5.4) (Fifty-four homolog)
Cgl0833,cg0953,,Monocarboxylic acid transporter
Cgl1646,cg1853,glpD,Glycerol-3-phosphate dehydrogenase
Cgl0901,cg1027,dld,Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) (D-lactate dehydrogenase) (D-LDH)
Cgl1030,cg1169,,Transporter
Cgl0700,cg0802,accBC,biotin carboxylase (EC 6.3.4.14)
Cgl0347,cg0417,capD,Predicted nucleoside-diphosphate sugar epimerases
Cgl0945,cg1080,,Multicopper oxidase CueO (EC 1.16.3.4) (Copper efflux oxidase) (Cuprous oxidase)
Cgl2870,cg3177,pccB,Acetyl-CoA carboxylase beta subunit (EC 6.4.1.3)
Cgl2377,cg2610,,"ABC-type dipeptide/oligopeptide/nickel transport systems, periplasmic components"
Cgl1158,cg1309,,NADPH-dependent resorcinol 4-hydroxylase (EC 1.14.13.219) (Resorcinol hydroxylase)
Cgl2546,cg2805,psp4,Uncharacterized protein
Cgl2436,cg2675,,"ABC-type transporter, duplicated ATPase component"
Cgl0136,cg0173,,DUF885 domain-containing protein
Cgl2633,cg2916,ksdD,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunits (EC 1.1.1.-, EC 1.3.99.4)"
Cgl2682,cg2968,,Uncharacterized protein
Cgl2610,cg2891,poxB,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (Cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]"
Cgl1087,cg1237,,Hypothetical membrane protein
Cgl1282,cg1448,,Uncharacterized ACR
Cgl2406,cg2639,benC,2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases
Cgl1436,cg1624,,NhaP-type Na+/H+ and K+/H+ antiporters
Cgl1503,cg1697,aspA,Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)
Cgl0617,cg0714,dtxR,UmuC domain-containing protein
Cgl0441,cg0523,,ResB protein required for cytochrome c biosynthesis
Cgl1210,cg1366,atpA,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Cgl0532,cg0622,,"ABC-type transporter, duplicated ATPase component"
Cgl2851,cg3157,,"Uncharacterized BCR, vancomycin resistance protein"
Cgl0595,cg0688,,Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)]
Cgl1051,cg1195,,Sulfate permease and related transporters (MFS superfamily)
Cgl2912,cg3220,,Alpha/beta-hydrolase catalytic domain-containing protein
Cgl1817,cg2037,,DUF4365 domain-containing protein
Cgl3036,cg3365,rmpC,Ascorbate-specific PTS system EIIC component (Ascorbate-specific permease IIC component UlaA)
Cgl0928,cg1059,,DUF222 domain-containing protein
Cgl2018,cg2212,,"ABC-type transporter, permease components"
Cgl1284,cg1451,serA,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Cgl0708,cg0812,dtsR1,Detergent sensitivity rescuer dtsR1
Cgl0317,cg0385,bglS',beta-glucosidase (EC 3.2.1.21)
Cgl2541,cg2800,pgm,Phosphoglucomutase (EC 5.4.2.2)
Cgl0400,cg0480,fadD5,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II (EC 6.2.1.3)
Cgl0687,cg0788,pmmB,Phosphomannomutase (EC 5.4.2.8)
Cgl1656,cg1864,,Dipeptide-binding protein DciAE
Cgl1414,cg1602,recN,DNA repair protein RecN (Recombination protein N)
Cgl2889,cg3197,psp5,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
Cgl2702,cg2990,speE,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)
Cgl2163,cg2374,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"
Cgl2687,cg2974,lysS,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
Cgl0590,cg0683,,Uncharacterized transporter Cgl0590/cg0683
Cgl1571,cg1770,,DNA or RNA helicases of superfamily II
Cgl0427,cg0507,,"ABC-type transporter, permease components"
Cgl2454,cg2695,,Energy-dependent translational throttle protein EttA (EC 3.6.1.-) (Translational regulatory factor EttA)
Cgl1933,cg2117,ptsI,"Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)"
Cgl1198,cg1353,fadD4,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II (EC 6.2.1.-)
Cgl1728,cg1946,,Uncharacterized protein
Cgl2125,cg2333,treZ,Malto-oligosyltrehalose trehalohydrolase (MTHase) (EC 3.2.1.141) (4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase) (Maltooligosyl trehalose trehalohydrolase)
Cgl2974,cg3295,,Cation transport ATPases (EC 3.6.1.-)
Cgl2569,cg2840,actA,Acetyl-CoA hydrolase (EC 2.8.3.-)
Cgl0740,cg0847,,Cell wall biosynthesis protein LcpA
Cgl1840,cg2061,psp3,LGFP repeat-containing protein
Cgl1990,cg2181,,"ABC-type transporter, periplasmic component"
Cgl2482,cg2728,,Glutaminase (EC 3.5.1.2)
Cgl0929,cg1060,prfC,Peptide chain release factor 3 (RF-3)
Cgl2731,cg3026,mrpD,"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit"
Cgl2439,cg2678,,"ABC-type transporter, periplasmic component"
Cgl0162,cg0202,iolD,acetolactate synthase (EC 2.2.1.6)
Cgl2523,cg2780,ctaD,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)
Cgl1790,cg2009,,"ATPases with chaperone activity, ATP-binding subunit"
Cgl2986,cg3313,mrcB,Membrane carboxypeptidase (Penicillin-binding protein)
Cgl1150,cg1301,cydA,"Cytochrome bd-type quinol oxidase, subunit 1 (EC 1.10.3.-)"
Cgl0452,cg0535,,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.-)
Cgl3039,cg3368,,"ABC-type transporter, permease components"
Cgl0870,cg0992,,Sulfate permease and related transporters (MFS superfamily)
Cgl1566,cg1766,,Alpha-(1->6)-mannopyranosyltransferase B (MptB) (EC 2.4.1.-) (Polyprenyl-1-monophosphorylmannose dependent alpha-(1->6)mannopyranosyltransferase) (PPM-dependent alpha-(1->6)mannopyranosyltransferase)
Cgl2141,cg2349,,"ABC-type transporter, duplicated ATPase component"
Cgl0816,cg0933,,DNA 3'-5' helicase (EC 5.6.2.4)
Cgl0086,cg0115,ureC,Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
Cgl1993,cg2184,,"ABC-type transporter, duplicated ATPase component"
Cgl2306,cg2533,,Uncharacterized protein
Cgl2872,cg3179,fadD2,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II (EC 6.2.1.-)
Cgl2995,cg3322,,Membrane-fusion protein
Cgl0155,cg0193,pepO,Predicted metalloendopeptidase
Cgl0704,cg0808,wbpC,Predicted acyltransferases
Cgl1271,cg1435,ilvB,Acetolactate synthase large subunit (AHAS) (EC 2.2.1.6) (Acetohydroxy-acid synthase large subunit) (ALS)
Cgl1658,cg1867,secD,Protein translocase subunit SecD
Cgl2164,cg2375,ftsI,Cell division protein FtsI/penicillin-binding protein 2
Cgl2530,cg2786,nrdE,Ribonucleoside-diphosphate reductase (EC 1.17.4.1)
Cgl1727,cg1945,,KAP NTPase domain-containing protein
Cgl1199,cg1354,rho,Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)
Cgl0307,cg0370,,Distinct helicase family with a unique C-terminal domain including a metal-binding cysteine cluster
Cgl2118,cg2323,treY,Maltooligosyl trehalose synthase
Cgl0406,cg0486,,"ABC-type transport systems, involved in lipoprotein release, permease components"
Cgl1968,cg2158,ftsK,DNA translocase FtsK
Cgl0188,cg0236,,Galactan 5-O-arabinofuranosyltransferase (EC 2.4.2.46) (Arabinofuranosyltransferase AftA)
Cgl0712,cg0817,kup,Probable potassium transport system protein Kup
Cgl1288,cg1456,,Predicted signal-transduction protein containing cAMP-binding and CBS domains
Cgl1671,cg1880,thrS,Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)
Cgl2175,cg2388,pknL,non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cgl2596,cg2873,ptrB,Protease II
Cgl1529,cg1725,mcmB,methylmalonyl-CoA mutase (EC 5.4.99.2)
Cgl2588,cg2862,purL,Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)
Cgl1765,cg1985,,DNA 3'-5' helicase (EC 5.6.2.4)
Cgl2721,cg3016,,Uncharacterized protein
Cgl2426,cg2662,pepN,Aminopeptidase N (EC 3.4.11.2) (Alanine aminopeptidase) (Lysyl aminopeptidase)
Cgl2678,cg2963,clpC,"ATPases with chaperone activity, ATP-binding subunit"
Cgl0340,cg0410,,Serine proteases of the peptidase family S9A (EC 3.4.21.26)
Cgl0779,cg0889,,DNA 3'-5' helicase (EC 5.6.2.4)
Cgl1360,cg1537,ptsG,PTS system mannose-specific EIIBCA component (EII-Man/EIII-Man) (EIIBCA-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]
Cgl1682,cg1897,,Uncharacterized protein
Cgl2266,cg2487,,Uncharacterized ACR
Cgl2614,cg2896,,Hypothetical membrane protein
Cgl0664,cg0766,icd,Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (Oxalosuccinate decarboxylase)
Cgl0854,cg0976,pcrA,ATP-dependent DNA helicase (EC 5.6.2.4)
Cgl0966,cg1103,,Uncharacterized protein Cgl0966/cg1103
Cgl1390,cg1575,pheT,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
Cgl1167,cg1319,,ATPase involved in DNA repair
Cgl2724,cg3019,,Hypothetical membrane protein
Cgl0422,cg0502,,3-dehydroshikimate dehydratase (DSD) (EC 4.2.1.118)
Cgl0894,cg1018,,Superfamily II DNA helicase
Cgl1369,cg1550,uvrB,UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)
Cgl1743,cg1963,,"Superfamily II DNA/RNA helicases, SNF2 family"
Cgl2268,cg2489,dnaG,DNA primase (EC 2.7.7.101)
Cgl2720,cg3015,,Uncharacterized protein
Cgl0855,cg0977,,"ABC-type transporter, permease components"
Cgl1440,cg1629,secA2,Protein translocase subunit SecA 2 (EC 7.4.2.8)
Cgl0278,cg0336,ponA,non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cgl2107,cg2310,glgX,Pullulanase and related glycosidases
Cgl1637,cg1843,,"Superfamily II DNA/RNA helicases, SNF2 family (EC 3.2.1.3)"
Cgl1540,cg1737,acn,"Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (Iron-responsive protein-like) (IRP-like) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)"
Cgl0482,cg0569,,Cation transport ATPases (EC 3.6.1.-)
Cgl1021,cg1159,,Hypothetical membrane protein
Cgl1530,cg1726,mcmA,methylmalonyl-CoA mutase (EC 5.4.99.2)
Cgl1759,cg1981,,Uncharacterized protein
Cgl2296,cg2521,fadD15,Acyl-CoA synthetase
Cgl2800,cg3100,dnaK,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)
Cgl2751,cg3046,pknG,Serine/threonine protein kinases
Cgl2867,cg3174,mmpL1,Predicted drug exporters of the RND superfamily
Cgl0568,cg0658,,Hypothetical membrane protein
Cgl0434,cg0515,,Cation transport ATPases (EC 3.6.1.-)
Cgl2408,cg2641,benR,DNA-binding HTH domains
Cgl2315,cg2543,glcD,FAD/FMN-containing dehydrogenases
Cgl0495,,,Elongation factor G (EF-G)
Cgl1192,cg1347,,Subtilisin-like serine proteases (EC 3.4.21.-)
Cgl1574,cg1774,tkt,Transketolase (EC 2.2.1.1)
Cgl1773,cg1993,,Uncharacterized protein
Cgl2297,cg2523,malQ,4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme)
Cgl2830,cg3132,,Hypothetical membrane protein
Cgl1151,cg1302,,DNA or RNA helicases of superfamily II
Cgl0242,cg0296,dnaZX,DNA polymerase III subunit gamma/tau (EC 2.7.7.7)
Cgl0231,cg0284,,Predicted drug exporters of the RND superfamily
Cgl1924,cg2107,,Superfamily II DNA and RNA helicases
Cgl2376,cg2609,valS,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)
Cgl1376,cg1560,uvrA,UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)
Cgl0529,cg0618,fdhF,"Anaerobic dehydrogenases, typically selenocysteine-containing (EC 1.2.1.2)"
Cgl1224,cg1381,glgB,"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)"
Cgl1592,cg1795,uvrC,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)
Cgl2008,cg2199,pbp,Cell division protein FtsI/penicillin-binding protein 2
Cgl2358,cg2590,,Xanthine/uracil permeases
Cgl2879,cg3187,,Terminal beta-(1->2)-arabinofuranosyltransferase (EC 2.4.2.-)
Cgl0386,cg0464,ctpA,Cation transport ATPases (EC 3.6.1.-)
Cgl1085,cg1234,,UvrABC system protein A (Excinuclease ABC subunit A)
Cgl1308,cg1479,,"Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)"
Cgl2780,cg3079,clpB,Chaperone protein ClpB
Cgl1353,cg1525,polA,DNA polymerase I (EC 2.7.7.7)
Cgl3018,cg3346,leuS,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
Cgl0625,cg0722,,Predicted drug exporters of the RND superfamily
Cgl1268,cg1432,ilvD,Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)
Cgl1638,cg1844,,Predicted membrane protein
Cgl2067,cg2267,,Alpha/beta hydrolase
Cgl2440,cg2679,,FAD-dependent urate hydroxylase HpyO/Asp monooxygenase CreE-like FAD/NAD(P)-binding domain-containing protein
Cgl2882,cg3191,,Uncharacterized protein
Cgl2364,cg2597,rne,Ribonucleases G and E (EC 3.1.4.-)
Cgl1373,cg1555,,UvrD-like helicase ATP-binding domain-containing protein
Cgl1841,cg2062,,Uncharacterized protein
Cgl2696,cg2984,ftsH,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)
Cgl2592,cg2868,nuc,Predicted extracellular nuclease
Cgl0739,cg0845,,"Superfamily II DNA/RNA helicases, SNF2 family"
Cgl0727,cg0834,,"ABC-type transporter, periplasmic component"
Cgl2457,cg2700,,Alkaline phosphatase (EC 3.1.3.1)
Cgl2685,cg2971,lmrB,Permeases of the major facilitator superfamily
Cgl2404,cg2637,benA,Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases
Cgl2883,cg3192,,Hypothetical membrane protein
Cgl2950,cg3265,,Uncharacterized protein
Cgl1639,cg1845,,ABC transporter ATP-binding protein
Cgl2462,cg2707,,DUF4032 domain-containing protein
