cgl_locus,cg_locus,gene_name,product
Cgl0728,cg0836,,Uncharacterized protein
Cgl0795,cg0906,,Uncharacterized protein
Cgl0173,cg0214,,Uncharacterized protein
Cgl0476,cg0563,rplK,Large ribosomal subunit protein uL11 (50S ribosomal protein L11)
Cgl1752,,,Uncharacterized protein
Cgl2017,cg2211,,Uncharacterized membrane protein Cgl2017/cg2211 (P20)
Cgl0639,cg0739,,Uncharacterized ACR
Cgl0985,cg1122,,Secreted protein
Cgl0744,cg0852,,Metallopeptidase family protein
Cgl0046,cg0063,,FHA-domain-containing proteins
Cgl1705,cg1920,,Uncharacterized protein
Cgl1929,cg2113,,Uncharacterized protein
Cgl0574,cg0664,,Hypothetical membrane protein
Cgl0940,cg1073,,Predicted lactoylglutathione lyase (EC 4.4.1.5)
Cgl1686,cg1901,,Uncharacterized protein
Cgl2636,cg2919,,Predicted dehydrogenases and related proteins (EC 1.1.1.18)
Cgl0009,cg0010,,Uncharacterized protein
Cgl1830,cg2051,,Uncharacterized protein
Cgl1013,cg1149,,Uncharacterized protein
Cgl2981,cg3306,rplI,Large ribosomal subunit protein bL9 (50S ribosomal protein L9)
Cgl2934,cg3246,,Transcriptional regulators
Cgl1453,cg1644,,"Uncharacterized protein, possibly involved in aromatic compounds catabolism"
Cgl1768,cg1988,,HTH cro/C1-type domain-containing protein
Cgl0722,cg0829,,Lactoylglutathione lyase and related lyases
Cgl0971,cg1108,porC,Uncharacterized protein
Cgl1441,cg1630,,Oxoglutarate dehydrogenase inhibitor
Cgl2246,cg2464,,DUF3052 domain-containing protein
Cgl1534,cg1731,,Membrane protein implicated in regulation of membrane protease activity
Cgl0468,cg0553,,Hypothetical membrane protein
Cgl2711,cg3001,cosR,Transcriptional regulators
Cgl1560,cg1760,,NifU homologs involved in Fe-S cluster formation
Cgl3040,cg3369,qcrA2,Rieske domain-containing protein
Cgl2152,cg2363,,Cell division protein SepF
Cgl1616,cg1822,,YbjN domain-containing protein
Cgl2451,cg2692,,Predicted thioesterase
Cgl0217,cg0266,,Hypothetical membrane protein
Cgl2638,cg2921,,Permeases of the major facilitator superfamily
Cgl1731,cg1949,,Uncharacterized protein
Cgl1338,cg1510,,Metallopeptidase
Cgl0024,cg0038,ohr,Stress-induced protein
Cgl1370,cg1551,uspA1,Universal stress protein UspA and related nucleotide-binding proteins
Cgl2531,cg2787,nrdI,Protein NrdI
Cgl1741,cg1961,,VRR-NUC domain-containing protein
Cgl0266,cg0323,,Hypothetical membrane protein
Cgl0168,cg0208,,Prevent-host-death protein
Cgl1666,cg1875,,NUDIX hydrolase
Cgl2489,cg2736,bcp,thioredoxin-dependent peroxiredoxin (EC 1.11.1.24) (Thioredoxin peroxidase)
Cgl1559,cg1759,,Aromatic ring hydroxylating enzyme
Cgl0178,cg0220,,N-acetyltransferase domain-containing protein
Cgl1839,cg2060,,Uncharacterized protein
Cgl1846,cg2067,,Metallopeptidase
Cgl1101,cg1251,,Hypothetical membrane protein
Cgl2081,cg2283,,Uncharacterized protein
Cgl0542,cg0634,rplO,Large ribosomal subunit protein uL15 (50S ribosomal protein L15)
Cgl2976,cg3299,trxB1,Thiol-disulfide isomerase and thioredoxins
Cgl0715,cg0821,,DUF218 domain-containing protein
Cgl2417,cg2650,,Hypothetical membrane protein
Cgl0257,cg0313,lrp,Transcriptional regulators
Cgl2691,cg2978,,Hypothetical membrane protein
Cgl0211,cg0260,moaC,Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)
Cgl0647,cg0749,spoU,Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase)
Cgl2423,cg2658,rpi,Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)
Cgl1716,cg1932,ppp2,Tyrosine specific protein phosphatases domain-containing protein
Cgl1709,cg1925,,Uncharacterized protein
Cgl2276,cg2497,,Uncharacterized protein
Cgl0526,cg0614,,Uncharacterized protein
Cgl1644,cg1850,,Predicted flavoprotein (EC 1.5.1.-)
Cgl1053,cg1198,,Uncharacterized protein
Cgl0396,cg0475,,DUF2505 domain-containing protein
Cgl2179,cg2392,,3'-5' exoribonuclease (EC 3.1.13.-)
Cgl0108,cg0142,sixA,Phosphohistidine phosphatase SixA
Cgl0536,cg0627,,Histone acetyltransferase HPA2 and related acetyltransferases
Cgl1161,cg1312,,Hypothetical membrane protein
Cgl1665,cg1874,,Hypothetical membrane protein
Cgl2591,cg2867,gpx,Glutathione peroxidase
Cgl0987,cg1125,,DUF4307 domain-containing protein
Cgl0691,cg0793,,Uncharacterized protein with SCP/PR1 domains
Cgl0645,cg0747,,Cytosine/adenosine deaminases
Cgl2415,cg2648,,Transcriptional regulator
Cgl1275,cg1438,,"ABC-type nitrate/sulfonate/taurine/bicarbonate transport systems, ATPase components"
Cgl0792,cg0902,,Uncharacterized protein
Cgl0857,cg0979,,Predicted transcriptional regulators
Cgl0796,cg0908,,Uncharacterized protein
Cgl1819,cg2039,,Uncharacterized protein
Cgl1214,cg1370,,DUF2550 family protein
Cgl1761,cg1983,,Uncharacterized protein
Cgl2884,cg3193,,Membrane-associated phospholipid phosphatase
Cgl2657,cg2942,,Transcriptional regulators
Cgl0566,cg0656,rplQ,Large ribosomal subunit protein bL17 (50S ribosomal protein L17)
Cgl0804,cg0916,smpB,SsrA-binding protein (Small protein B)
Cgl2990,cg3317,,Hypothetical membrane protein
Cgl1430,cg1619,,Bacterial transcription activator effector binding domain-containing protein
Cgl1035,cg1175,,"Acetyltransferases, including N-acetylases of ribosomal proteins"
Cgl1821,cg2041,,Uncharacterized protein
Cgl1445,cg1635,,Hypothetical membrane protein
Cgl2160,cg2371,murD,UDP-N-acetylmuramoylalanine-D-glutamate ligase (EC 6.3.2.9)
Cgl2240,cg2459,ptpA,protein-tyrosine-phosphatase (EC 3.1.3.48)
Cgl2004,cg2195,,Hypothetical membrane protein
Cgl0905,,,
Cgl1471,cg1662,,Secreted protein
Cgl0614,cg0711,,Hypothetical membrane protein
Cgl1121,cg1272,cseE,Anti-sigma factor
Cgl2999,cg3327,dps,Starvation-inducible DNA-binding protein
Cgl1539,cg1736,,1-deoxy-D-xylulose-5-phosphate synthase
Cgl2485,cg2732,,Gluconokinase (EC 2.7.1.12)
Cgl2128,cg2336,,Hypothetical membrane protein
Cgl2886,,,Uncharacterized protein
Cgl0726,cg0833,,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein
Cgl2258,cg2477,,Uncharacterized protein
Cgl3003,cg3331,ogt,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)
Cgl0765,cg0874,,Abasic site processing protein (EC 3.4.-.-)
Cgl1683,cg1898,,Uncharacterized protein
Cgl1011,cg1147,,"Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family"
Cgl2260,cg2479,,DUF4274 domain-containing protein
Cgl1086,cg1236,tpx,Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)
Cgl2705,cg2993,,DUF2617 family protein
Cgl2748,cg3043,,NTP pyrophosphohydrolases including oxidative damage repair enzymes
Cgl0192,cg0240,,Hypothetical membrane protein
Cgl0433,cg0514,,Hypothetical membrane protein
Cgl0049,cg0066,,Uncharacterized protein
Cgl2988,cg3315,malR,Transcriptional regulators
Cgl1700,cg1915,,Uncharacterized protein
Cgl0914,cg1043,,Thiol-disulfide isomerase and thioredoxins
Cgl2526,cg2782,ftn,Ferritin
Cgl1547,cg1745,,DUF1990 domain-containing protein
Cgl2511,cg2766,,Transcriptional regulators
Cgl0589,cg0682,,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)
Cgl2874,cg3181,,Uncharacterized protein
Cgl0762,cg0871,,Uncharacterized protein
Cgl0593,cg0686,,Acetyltransferases (EC 2.3.1.128)
Cgl3028,cg3357,trpP,Hypothetical membrane protein
Cgl0087,cg0116,ureE,Urease accessory protein UreE
Cgl2970,cg3291,,cAMP-binding domains-Catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
Cgl1594,cg1797,ribH,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"
Cgl1329,cg1501,coaD,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
Cgl1280,cg1444,,"Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family"
Cgl2730,cg3025,mrpC,Multisubunit Na+/H+ antiporter
Cgl2405,cg2638,benB,"Benzoate 1,2-dioxygenase small subunit"
Cgl2054,cg2253,rpsP,Small ribosomal subunit protein bS16 (30S ribosomal protein S16)
Cgl1047,cg1191,,Phosphoesterase HXTX domain-containing protein
Cgl2027,cg2223,,Membrane proteins related to metalloendopeptidases
Cgl1601,cg1804,def2,Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1)
Cgl0485,cg0572,rplJ,Large ribosomal subunit protein uL10 (50S ribosomal protein L10)
Cgl0210,cg0259,moaB,Molybdopterin biosynthesis enzymes
Cgl0444,cg0526,,Translation initiation inhibitor
Cgl1615,cg1821,,YbjN domain-containing protein
Cgl2339,cg2569,dctX,Uncharacterized BCR
Cgl0085,cg0114,ureB,Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
Cgl1191,cg1346,mog,Molybdopterin biosynthesis enzymes
Cgl0714,cg0820,purE,N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)
Cgl0925,cg1055,menG,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)
Cgl0368,cg0443,,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)
Cgl2881,cg3190,,Membrane-associated phospholipid phosphatase
Cgl1649,cg1857,ppiB,Peptidyl-prolyl cis-trans isomerase (Rotamase)-cyclophilin family (EC 5.2.1.8)
Cgl1399,cg1585,argR,Arginine repressor
Cgl2052,cg2251,rimM,Ribosome maturation factor RimM
Cgl2293,cg2518,,Uncharacterized protein
Cgl2823,cg3125,,Uncharacterized BCR
Cgl1081,cg1230,,Adenylate kinase and related kinases
Cgl1989,cg2179,,Ribosome maturation factor RimP
Cgl1748,cg1968,,Uncharacterized protein
Cgl0556,cg0648,adk,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)
Cgl2563,cg2834,cysE,Serine acetyltransferase (EC 2.3.1.30)
Cgl2630,cg2913,,"ABC-type transporter, permease components"
Cgl0034,cg0048,ppiA,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
Cgl1269,cg1433,,Low molecular weight protein antigen 6 PH domain-containing protein
Cgl1382,cg1567,,Uncharacterized protein
Cgl2625,cg2908,,Lipocalin-like domain-containing protein
Cgl2308,cg2535,,DUF4352 domain-containing protein
Cgl2556,cg2824,,SAM-dependent methyltransferase
Cgl0938,cg1071,pth1,Peptidyl-tRNA hydrolase 1 (PTH 1) (EC 3.1.1.29)
Cgl2139,cg2347,lspA,Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)
Cgl1913,cg2096,,Hypothetical membrane protein
Cgl1425,cg1614,,Predicted transcriptional regulator containing the HTH domain
Cgl0298,cg0359,,Hypothetical membrane protein
Cgl3055,cg3384,,Transcriptional regulator
