Entry	Gene Names	Gene Names (ordered locus)	Protein names
Q8NN43	ndk Cgl2370 cg2603	Cgl2370 cg2603	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)
Q8NN99	idi Cgl2305 cg2531	Cgl2305 cg2531	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)
Q8NNB9	era bex Cgl2285 cg2510	Cgl2285 cg2510	GTPase Era
Q8NNF6	aceE Cgl2248 cg2466	Cgl2248 cg2466	Pyruvate dehydrogenase E1 component (E1p) (PDH E1 component) (EC 1.2.4.1)
Q8NNJ4	pepA pepB Cgl2205 cg2419	Cgl2205 cg2419	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)
Q8NNM0	mptA Cgl2173 cg2385	Cgl2173 cg2385	Alpha-(1->6)-mannopyranosyltransferase A (MptA) (EC 2.4.1.-)
Q8NNN5	murG Cgl2158 cg2369	Cgl2158 cg2369	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)
Q8NNP4	dinB dinP Cgl2144 cg2355	Cgl2144 cg2355	DNA polymerase IV (Pol IV) (EC 2.7.7.7)
Q8NNU2	lgt Cgl2090 cg2292	Cgl2090 cg2292	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)
Q8NNX7	trmD Cgl2050 cg2249	Cgl2050 cg2249	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
Q8NNZ4	rnhB Cgl2033 cg2230	Cgl2033 cg2230	Ribonuclease HII (RNase HII) (EC 3.1.26.4)
Q8NP72	miaA Cgl1944 cg2130	Cgl1944 cg2130	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)
Q8NQH0	thiM Cgl1464 cg1655	Cgl1464 cg1655	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)
Q8NQK7	cmk Cgl1427 cg1616	Cgl1427 cg1616	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)
Q8NQN7	pheS Cgl1389 cg1574	Cgl1389 cg1574	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q8NQU9	ung Cgl1324 cg1496	Cgl1324 cg1496	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
Q8NR05	gatB Cgl1259 cg1420	Cgl1259 cg1420	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
Q8NR60	moaA Cgl1197 cg1352	Cgl1197 cg1352	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)
