gsm_accession,filename,size_bytes,qc_status,strain,notes
GSM5197172,GSM5197172_0153_.gpr.gz,1027903,PASS,ATCC13032,Compendium sub-sample
GSM5197173,GSM5197173_0154_.gpr.gz,1033840,PASS,ATCC13032,Compendium sub-sample
GSM5197174,GSM5197174_0155_.gpr.gz,973356,PASS,ATCC13032,Compendium sub-sample
GSM5197175,GSM5197175_0156_.gpr.gz,1006545,PASS,ATCC13032,Compendium sub-sample
GSM5197176,GSM5197176_0157_.gpr.gz,998090,PASS,ATCC13032,Compendium sub-sample
GSM5197177,GSM5197177_0158_.gpr.gz,1022713,PASS,ATCC13032,Compendium sub-sample
GSM5197178,GSM5197178_0159_.gpr.gz,1106989,PASS,ATCC13032,Compendium sub-sample
GSM5197179,GSM5197179_0160_.gpr.gz,1050608,PASS,ATCC13032,Compendium sub-sample
GSM5197180,GSM5197180_0161_.gpr.gz,516603,PASS,ATCC13032,Compendium sub-sample
GSM5197181,GSM5197181_0162_.gpr.gz,1106989,PASS,ATCC13032,Compendium sub-sample
GSM5197182,GSM5197182_0163_.gpr.gz,3982404,PASS,ATCC13032,Compendium sub-sample
GSM5197183,GSM5197183_0164_.gpr.gz,3982404,PASS,ATCC13032,Compendium sub-sample
GSM5197184,GSM5197184_0165_.gpr.gz,4328876,PASS,ATCC13032,Compendium sub-sample
GSM5197185,GSM5197185_0166_.gpr.gz,4285284,PASS,ATCC13032,Compendium sub-sample
GSM5197186,GSM5197186_0167_.gpr.gz,4217244,PASS,ATCC13032,Compendium sub-sample
GSM5197187,GSM5197187_0168_.gpr.gz,4237195,PASS,ATCC13032,Compendium sub-sample
GSM5197188,GSM5197188_0169_.gpr.gz,4367572,PASS,ATCC13032,Compendium sub-sample
GSM5197189,GSM5197189_0170_.gpr.gz,4206302,PASS,ATCC13032,Compendium sub-sample
GSM5197190,GSM5197190_0171_.gpr.gz,4220603,PASS,ATCC13032,Compendium sub-sample
GSM5197191,GSM5197191_0172_.gpr.gz,420326,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197192,GSM5197192_0173_.gpr.gz,389432,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197193,GSM5197193_0174_.gpr.gz,402494,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197194,GSM5197194_0175_.gpr.gz,1021170,PASS,ATCC13032,Compendium sub-sample
GSM5197195,GSM5197195_0176_.gpr.gz,1003892,PASS,ATCC13032,Compendium sub-sample
GSM5197196,GSM5197196_0177_.gpr.gz,968939,PASS,ATCC13032,Compendium sub-sample
GSM5197197,GSM5197197_0178_.gpr.gz,422956,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197198,GSM5197198_0179_.gpr.gz,422956,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197199,GSM5197199_0180_.gpr.gz,420347,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197200,GSM5197200_0181_.gpr.gz,504608,PASS,ATCC13032,Compendium sub-sample
GSM5197201,GSM5197201_0182_.gpr.gz,506174,PASS,ATCC13032,Compendium sub-sample
GSM5197202,GSM5197202_0183_.gpr.gz,1077560,PASS,ATCC13032,Compendium sub-sample
GSM5197203,GSM5197203_0184_.gpr.gz,990986,PASS,ATCC13032,Compendium sub-sample
GSM5197204,GSM5197204_0185_.gpr.gz,1018919,PASS,ATCC13032,Compendium sub-sample
GSM5197205,GSM5197205_0186_.gpr.gz,4106349,PASS,ATCC13032,Compendium sub-sample
GSM5197206,GSM5197206_0187_.gpr.gz,3876435,PASS,ATCC13032,Compendium sub-sample
GSM5197207,GSM5197207_0188_.gpr.gz,4216836,PASS,ATCC13032,Compendium sub-sample
GSM5197208,GSM5197208_0189_.gpr.gz,4085436,PASS,ATCC13032,Compendium sub-sample
GSM5197209,GSM5197209_0190_.gpr.gz,3869300,PASS,ATCC13032,Compendium sub-sample
GSM5197210,GSM5197210_0191_.gpr.gz,4862791,PASS,ATCC13032,Compendium sub-sample
GSM5197211,GSM5197211_0192_.gpr.gz,3820869,PASS,ATCC13032,Compendium sub-sample
GSM5197212,GSM5197212_0193_.gpr.gz,4126867,PASS,ATCC13032,Compendium sub-sample
GSM5197213,GSM5197213_0194_.gpr.gz,3820869,PASS,ATCC13032,Compendium sub-sample
GSM5197214,GSM5197214_0195_.gpr.gz,4102393,PASS,ATCC13032,Compendium sub-sample
