merged_gene	n_samples_in_tsv	n_models_found	n_missing_samples	sample_prefixes	missing_sample_prefixes
Cgl1962	3	3	0	Cgl1962;Cgl1962-1;Cgl1962-2	
Cgl2009	2	2	0	Cgl2009-1;Cgl2009-2	
Cgl2044	2	2	0	Cgl2044-1;Cgl2044-2	
Cgl2060	2	2	0	Cgl2060-1;Cgl2060-2	
Cgl2068	3	3	0	Cgl2068;Cgl2068-1;Cgl2068-2	
Cgl2106	2	2	0	Cgl2106-1;Cgl2106-2	
Cgl2111	2	2	0	Cgl2111-1;Cgl2111-2	
Cgl2115	2	2	0	Cgl2115-1;Cgl2115-2	
Cgl2146	2	2	0	Cgl2146-1;Cgl2146-2	
Cgl2167	2	2	0	Cgl2167-1;Cgl2167-2	
Cgl2244	2	2	0	Cgl2244-1;Cgl2244-2	
Cgl2279	2	2	0	Cgl2279-1;Cgl2279-2	
Cgl2280	2	2	0	Cgl2280-1;Cgl2280-2	
Cgl2291	2	2	0	Cgl2291-1;Cgl2291-2	
Cgl2316	2	2	0	Cgl2316-1;Cgl2316-2	
Cgl2326	2	2	0	Cgl2326-1;Cgl2326-2	
Cgl2381	2	2	0	Cgl2381-1;Cgl2381-2	
Cgl2382	2	2	0	Cgl2382-1;Cgl2382-2	
Cgl2391	3	3	0	Cgl2391;Cgl2391-1;Cgl2391-2	
Cgl2394	2	2	0	Cgl2394-1;Cgl2394-2	
Cgl2408	2	2	0	Cgl2408-1;Cgl2408-2	
Cgl2415	2	2	0	Cgl2415-1;Cgl2415-2	
Cgl2418	2	2	0	Cgl2418-1;Cgl2418-2	
Cgl2445	2	2	0	Cgl2445-1;Cgl2445-2	
Cgl2490	3	3	0	Cgl2490;Cgl2490-1;Cgl2490-2	
Cgl2496	2	2	0	Cgl2496-1;Cgl2496-2	
Cgl2511	2	2	0	Cgl2511-1;Cgl2511-2	
Cgl2527	2	2	0	Cgl2527-1;Cgl2527-2	
Cgl2528	2	2	0	Cgl2528-1;Cgl2528-2	
Cgl2560	2	2	0	Cgl2560-1;Cgl2560-2	
Cgl2571	2	2	0	Cgl2571-1;Cgl2571-2	
Cgl2607	2	2	0	Cgl2607-1;Cgl2607-2	
Cgl2608	2	2	0	Cgl2608-1;Cgl2608-2	
Cgl2612	2	2	0	Cgl2612-1;Cgl2612-2	
Cgl2616	2	2	0	Cgl2616-1;Cgl2616-2	
Cgl2621	2	2	0	Cgl2621-1;Cgl2621-2	
Cgl2627	2	2	0	Cgl2627-1;Cgl2627-2	
Cgl2639	2	2	0	Cgl2639-1;Cgl2639-2	
Cgl2647	2	2	0	Cgl2647-1;Cgl2647-2	
Cgl2651	2	2	0	Cgl2651-1;Cgl2651-2	
Cgl2657	2	2	0	Cgl2657-1;Cgl2657-2	
Cgl2661	2	2	0	Cgl2661-1;Cgl2661-2	
Cgl2662	2	2	0	Cgl2662-1;Cgl2662-2	
Cgl2676	2	2	0	Cgl2676-1;Cgl2676-2	
Cgl2677	2	2	0	Cgl2677-1;Cgl2677-2	
Cgl2678	2	2	0	Cgl2678-1;Cgl2678-2	
Cgl2680	2	2	0	Cgl2680-1;Cgl2680-2	
Cgl2711	2	2	0	Cgl2711-1;Cgl2711-2	
Cgl2764	2	2	0	Cgl2764-1;Cgl2764-2	
Cgl2776	3	3	0	Cgl2776;Cgl2776-1;Cgl2776-2	
Cgl2782	3	3	0	Cgl2782;Cgl2782-1;Cgl2782-2	
Cgl2787	3	3	0	Cgl2787;Cgl2787-1;Cgl2787-2	
Cgl2797	2	2	0	Cgl2797-1;Cgl2797-2	
Cgl2894	2	2	0	Cgl2894-1;Cgl2894-2	
Cgl2902	2	2	0	Cgl2902-1;Cgl2902-2	
Cgl2915	2	2	0	Cgl2915-1;Cgl2915-2	
Cgl2920	2	2	0	Cgl2920-1;Cgl2920-2	
Cgl2928	2	2	0	Cgl2928-1;Cgl2928-2	
Cgl2934	2	2	0	Cgl2934-1;Cgl2934-2	
Cgl2935	2	2	0	Cgl2935-1;Cgl2935-2	
